qid,policy,representation,packer,em,f1,ans_in_context,ans_in_context_soft,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
2hop__92051_827343,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.0,0.0,144.0,0.0,0.0
2hop__89764_827343,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.3333,0.5,144.0,0.5,0.0
2hop__59048_827343,chunk_packed_160,chunk,packed,0.0,0.5,0.0,0.5,0.0,0.0,144.0,0.0,0.0
2hop__14121_15463,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.0,0.0,145.0,1.0,1.0
2hop__817096_15463,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0
2hop__14095_15463,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.0,0.0,145.0,1.0,1.0
2hop__485221_544917,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.3268,0.5,153.0,0.5,0.0
2hop__198459_61845,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.4044,0.5,136.0,0.5,0.0
2hop__563476_61845,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0
2hop__622308_61845,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0
2hop__135653_669373,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.5,0.0
2hop__135652_669373,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.4015,0.5,137.0,0.5,0.0
2hop__135651_669373,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.5,0.0
2hop__256336_714772,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0
2hop__199513_801817,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.5,0.0
2hop__391857_162018,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.1899,0.5,158.0,0.5,0.0
2hop__645448_77615,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.4326,0.5,141.0,1.0,1.0
2hop__123104_77615,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.234,0.5,141.0,1.0,1.0
2hop__701525_342810,chunk_packed_160,chunk,packed,0.0,0.5,0.0,0.5,0.1384,0.5,159.0,0.5,0.0
2hop__668407_683671,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.8235,1.0,153.0,1.0,1.0
2hop__286093_361551,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.2517,0.5,151.0,0.5,0.0
2hop__124592_402641,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.6619,1.0,139.0,1.0,1.0
2hop__256553_617289,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.0,0.0,127.0,0.0,0.0
2hop__124412_402641,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.3381,0.5,139.0,1.0,1.0
2hop__706637_93362,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0
2hop__780652_93362,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.5,0.0
2hop__771727_93362,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.3287,0.5,143.0,0.5,0.0
2hop__499003_853511,chunk_packed_160,chunk,packed,0.0,0.5,0.0,0.5,0.5359,0.5,153.0,0.5,0.0
2hop__822965_165304,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.1361,0.5,147.0,0.5,0.0
